DATETIME,ENERGY,
2022-04-28T17:56:19+05:30,"131.78


",
2022-04-28T17:56:47+05:30,"130.18


",
2022-04-28T17:57:04+05:30,"145.86


",
2022-04-28T17:57:33+05:30,"149.08


",
2022-04-28T17:58:00+05:30,"162.23


",
2022-04-28T17:58:15+05:30,"161.92


",
2022-04-28T17:58:41+05:30,"162.48


",
2022-04-28T17:58:56+05:30,"162.69


",
2022-04-28T17:59:12+05:30,"162.77


",
2022-04-28T17:59:29+05:30,"166.36


",
2022-04-28T17:59:44+05:30,"174.98


",
2022-04-28T18:00:01+05:30,"163.00


",
2022-04-28T18:00:19+05:30,"162.80


",
2022-04-28T18:00:41+05:30,"162.94


",
2022-04-28T18:00:59+05:30,"167.18


",
2022-04-28T18:01:17+05:30,"171.50


",
2022-04-28T18:01:41+05:30,"175.00


",
2022-04-28T18:02:09+05:30,"171.08


",
2022-04-28T18:02:48+05:30,"176.42


",
2022-04-28T18:03:10+05:30,"176.73


",
2022-04-28T18:03:28+05:30,"178.67


",
2022-04-28T18:03:45+05:30,"178.67


",
